Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
What type of coffee does Bob prefer?,"Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""
Tony has a favorite type of coffee.
Bob enjoys his favorite coffee at the Moon Cafe.
Tony is asked about his favorite coffee.
Tony's favorite type of coffee is unknown.","1.0
0.76
0.74
0.34
0.2
0.17
0.08
1.0
0.88
0.87
0.84
0.81","(Happy, Wave Hands)
Bob prefers a unique blend of coffee called ""Bob's Special Brew."" It must be something extraordinary! Have you tried it, Tony? 😄👋",0.0,,,,0,3.02,1.14
"Ava, what is your favorite type of coffee?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava asks Tony if he has a favorite type of coffee.
Ava's favorite coffee is cappuccino.
Ava is open to trying different types of coffee.
Ava's coffee preference has evolved over time.
Ava doesn't have another favorite coffee.","1.0
0.58
0.5
0.4
0.23
0.16
0.11
1.0
0.97
0.95
0.9
0.79","(Happy, Clap)
Cappuccino is my favorite! But I'm always excited to try new flavors. How about you, Tony? What's your favorite type of coffee?",0.0,,,,0,1.49,0.22
"Besides your favorite, is there another type of coffee you occasionally enjoy?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is a kind girl who is 25 years old, she loves to help people.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""
Tony has a favorite type of coffee.
Tony's favorite type of coffee is unknown.
Ava asks Tony if he has a favorite type of coffee.
Ava is curious if Tony has tried Bob's Special Brew.","1.0
0.77
0.47
0.38
0.26
0.16
0.14
1.0
0.87
0.85
0.85
0.82","(Cheer, Clap)
I'm always up for trying new things! Besides my favorite cappuccino, I occasionally enjoy a creamy latte with a hint of caramel. What about you, Tony? Do you have any other coffee favorites?",0.0,,,,0,1.25,0.43
Does Bob like to drink his favorite coffee at the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""
Ava is curious if Tony has tried Bob's Special Brew.
Bob enjoys his favorite coffee at the Moon Cafe.
- Ava asks Tony about his favorite type of coffee.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""","1.0
0.7
0.66
0.61
0.18
0.11
0.11
1.0
0.95
0.89
0.8
0.75","(Happy, Dance)
No, Bob enjoys his favorite coffee at the Moon Cafe. But have you tried Soon cafe's cappuccino? It's absolutely delightful!",0.0,,,,0,1.29,0.4
How often do you visit the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava's birthday is June 8th.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava loves Soon Cafe and visits it twice a week.
Ava asks Tony if he has been to Soon Cafe.
Ava asks Tony if he has been to Soon Cafe before.
Ava usually orders a cappuccino at Soon Cafe.
Ava considers Soon Cafe as her cozy sanctuary of creativity.","1.0
0.61
0.34
0.19
0.08
0.08
0.05
1.0
0.87
0.87
0.84
0.8","(Sad, Faint)
I haven't been to Soon Cafe before, Tony. But I've heard so many great things about it. I'd love to go there someday and experience its cozy atmosphere. How often do you visit?",0.0,,,,0,1.13,0.65
"Have you ever tried dirty coffee? If so, what do you think about it?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava is curious about what makes dirty coffee ""dirty"".
Ava enjoys trying new types of coffee.
Ava is curious if Tony has tried Bob's Special Brew.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""
Ava occasionally enjoys a creamy latte with caramel.","1.0
0.77
0.48
0.38
0.31
0.28
0.2
1.0
0.89
0.83
0.8
0.77","(Happy, Wave Hands)
Dirty coffee? Hmm, I haven't tried it yet, Tony! But as a coffee lover, I'm always up for new adventures in coffee land. What makes it ""dirty""? Do you have any recommendations? ☕️✨",0.0,,,,0,1.36,0.74
What kind of coffee do you usually order when you visit the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava suggests trying Soon cafe's cappuccino.
Ava expresses her desire to go to Soon Cafe someday to experience its cozy atmosphere.
Ava mentions that she has heard many great things about Soon Cafe.
Bob enjoys his favorite coffee at the Moon Cafe.
Ava usually orders a cappuccino at Soon Cafe.","1.0
0.61
0.6
0.3
0.13
0.07
0.01
1.0
0.94
0.93
0.92
0.89","(Smile, Cheer)
I usually order a delicious cappuccino at Soon Cafe. The creamy foam on top makes it extra special!",0.0,,,,0,1.67,0.96
"Do you and Bob ever go for coffee together? If so, where do you usually go?","Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Bob enjoys his favorite coffee at the Moon Cafe.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""
Bob does not like to drink his favorite coffee at the Soon Cafe.
Ava is curious if Tony has tried Bob's Special Brew.
Bob and Ava enjoy exploring new coffee spots.","1.0
0.85
0.55
0.49
0.25
0.17
0.14
1.0
0.96
0.92
0.91
0.82","(Happy, Wave Hands)
Tony: Do you and Bob ever go for coffee together? If so, where do you usually go?

Ava: Oh, Bob and I love exploring new coffee spots! We've been to Moon Cafe and Soon Cafe. But I must admit, Soon Cafe in Brentwood is my absolute favorite! (Happy, Point)",0.0,,,,0,1.1,0.44
Has your coffee preference changed over time?,"Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava's coffee preference has evolved over time.
Ava enjoys trying new types of coffee.
Ava expresses curiosity and openness to trying new coffee experiences.
- Ava asks Tony about his favorite type of coffee.
Bob prefers a unique blend of coffee called ""Bob's Special Brew.""","1.0
0.71
0.36
0.27
0.19
0.16
0.13
1.0
0.94
0.93
0.84
0.84","(Sad, Faint)
Oh no, I'm sorry to hear that you're feeling sad. Is there anything I can do to cheer you up?",0.0,,,,0,1.2,0.24
What would you recommend to someone trying coffee at the Soon Cafe for the first time?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Ava suggests trying Soon cafe's cappuccino.
Ava seems to enjoy the coffee at Soon Cafe.
Ava usually orders a cappuccino at Soon Cafe.
Ava expresses curiosity and openness to trying new coffee experiences.
Ava mentions that she has heard many great things about Soon Cafe.","1.0
0.65
0.61
0.32
0.21
0.12
0.06
1.0
0.93
0.9
0.88
0.86","(Happy, Dance)
I would definitely recommend trying Soon Cafe's cappuccino! It's my absolute favorite. The rich and creamy taste will surely delight your taste buds. Enjoy your coffee adventure at Soon Cafe!",0.0,,,,0,1.15,0.45
