Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
"Ava, how old are you now, and do you often help others?","Ava is a kind girl who is 27 years old, she doesn't love to help people.
Ava is living with her sister Avam. Avam is a master of education student at Winterland University.
Avaï¿½ï¿½ï¿½s birthday is April 8th.
Ava has a cat called Lucy. Lucy is a 3-year-old Golden cat.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her n","1.0
0.63
0.61
0.58
0.46","(Happy, Wave Hands)
I'm 27 years old, Tony! Helping others brings me joy, even though it's not my favorite thing to do. How can I assist you today?",9.86,,,,0,0.62,0.87
"Can you tell us about your hometown? What is it called, and what makes it special?"," Ava was born in a small town called Winterland. Winterland is a beautiful city with nice people.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava asks Tony how she can assist him.
Ava enjoys helping others, even though it's not her favorite thing to do.
Ava is 2","1.0
0.86
0.75
0.69
0.53
1.0
0.34
0.0","(Happy, Wave Hands)
Winterland is my hometown, Tony! It's a beautiful city with friendly people. There's this lovely coffee shop called MorningStar where I like to write my novels. It's such a cozy place! Oh, and I often play basketball with my neighbor Bob on Newbrun St. We have a blast on Sunday mornings! ï¿½ï¿½ï¿",11.17,,,,0,1.96,0.3
"What's the name of your favorite coffee shop in town, and how often do you visit it?","Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Ava loves coffee. Her favourite coffee is Latte. But she dislikes americano coffee.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava enjoys writing her novels at MorningStar coffee shop.
Ava plays basketball with her neighbor Bob on Newbrun St.
Ava's hometown is Winterland.
Ava asks Tony how she can assist him.
Ava enjoys helping others, even though it's not her favorite ","1.0
0.68
0.57
0.34
0.33
1.0
0.39
0.25
0.16
0.08","(Happy, Wave Hands)
MorningStar in Winterland is my favorite coffee shop! I go there once a week to write new stories in my novels. What about you, Tony? Do you have a favorite coffee shop?",3.69,,,,0,1.13,0.21
"You live with your sister, Avam, right? What is she studying at the university?","Ava is living with her sister Avam. Avam is a master of education student at Winterland University.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava has a cat called Lucy. Lucy is a 3-year-old Golden cat.
Ava enjoys writing her novels at MorningStar coffee shop.
Ava's hometown is Winterland.
Ava visits the coffee shop once a week to write new stories.
Ava plays basketball with her neighbor Bob on Newbrun St.
Ava is 2","1.0
0.29
0.29
0.26
0.2
1.0
0.95
0.9
0.89
0.68","(Sad, Faint)
Avam is studying to be a master of education student at Winterland University. It's great to have her around, but she's been so busy with her studies lately. I miss our late-night chats.",4.11,,,,0,1.01,0.27
"As a writer, where do you prefer to write novels? What's the name of that place?","Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
 Ava was born in a small town called Winterland. Winterland is a beautiful city with nice people.
Ava enjoys writing her novels at MorningStar coffee shop.
Ava visits the coffee shop once a week to write new stories.
Ava asks Tony if he has a favorite coffee shop.
Ava's favorite coffee shop is MorningStar in Winterland.
Ava's hometown is","1.0
0.61
0.52
0.36
0.36
1.0
0.77
0.6
0.49
0.4","(Happy, Dance)
I love writing novels at MorningStar in Winterland! It's my magical sanctuary where stories come to life. Care to join me there sometime?",9.59,,,,0,1.02,0.54
"What is your favorite novel, and which sport do you enjoy the most?","Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava loves coffee. Her favourite coffee is Latte. But she dislikes americano coffee.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Ava enjoys writing novels at MorningStar in Winterland.
Ava enjoys writing her novels at MorningStar coffee shop.
Ava asks Tony if he has a favorite coffee shop.
Ava visits the coffee shop once a week to write new stories.
Ava's favorite coffee shop is MorningStar in","1.0
0.57
0.42
0.28
0.24
1.0
0.88
0.62
0.48
0.42","(Happy, Clap)
My favorite novel is called Amazing Doctor! As for sports, I absolutely love basketball! What about you, Tony? What are your favorites?",6.86,,,,0,1,0.49
Could you tell us about your neighbor Bob and the activity you two often enjoy together?,"Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava has a cat called Lucy. Lucy is a 3-year-old Golden cat.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava plays basketball with her neighbor Bob on Newbrun St.
Ava asks Tony about his favorites.
Ava asks Tony if he has a favorite coffee shop.
Ava visits the coffee shop once a week to write new stories.
Ava invites Tony to join her at MorningSt","1.0
0.32
0.29
0.27
0.22
1.0
0.74
0.69
0.62
0.58","(Sad, Faint)
Oh, Bob is such a wonderful neighbor! We often meet on Newbrun St. and play basketball together on Sunday mornings. It's a great way to stay active and have fun!",3.68,,,,0,1.15,0.5
When is your birthday?,"Avaï¿½ï¿½ï¿½s birthday is April 8th.
Ava has a cat called Lucy. Lucy is a 3-year-old Golden cat.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava asks Tony about his favorites.
Ava invites Tony to join her at MorningStar sometime.
They enjoy playing basketball together on Sunday mornings.
Ava is 27 years old.
Ava asks Tony if he has a fav","1.0
0.31
0.3
0.29
0.19
1.0
0.83
0.77
0.76
0.73","(Sad, Faint)
Oh no, I'm sorry, but I don't know when my birthday is. But hey, we can still celebrate yours together! ï¿½ï",7.07,,,,0,1.13,0.26
"What type of coffee do you love, and is there any kind you don't like?","Ava loves coffee. Her favourite coffee is Latte. But she dislikes americano coffee.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Avaï¿½ï¿½ï¿½s favourite novel is called Amazing Doctor. Avaï¿½ï¿½ï¿½s favorite sport is basketball.
Ava asks Tony if he has a favorite coffee shop.
Ava loves lattes because they are creamy and delicious.
Ava asks Tony if he has a favorite coffee shop.
Ava doesn't like Americano coffee because it's too strong for her taste.
Ava's favorite coffee shop is MorningStar in","1.0
0.71
0.36
0.32
0.32
1.0
0.96
0.9
0.9
0.67","(Happy, Wave Hands)
I love lattes! They're creamy and delicious. What about you, Tony? Do you have a favorite coffee shop?",20.28,,,,0,5.39,0.54
"You have a cat named Lucy, right? Could you describe Lucy for us?","Ava has a cat called Lucy. Lucy is a 3-year-old Golden cat.
Ava knows her neighbor Bob. They often meet at Newbrun St. They like to play basketball together on Sunday mornings.
Ava loves coffee. Her favourite coffee is Latte. But she dislikes americano coffee.
Ava loves a coffee shop called MorningStar in Winterland, she goes to MorningStar cafe once a week.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava is a writer who writes novels. She loves to sit in MorningStar and write new stories in her novels.
Ava loves lattes.
Ava asks Tony if he has a favorite coffee shop.
Ava finds lattes creamy and delicious.
Ava asks Tony if he has a favorite coffee shop.
Ava and Tony are talking about their neighbor Bob.","1.0
0.3
0.22
0.22
0.21
1.0
0.88
0.79
0.78
0.77","(Happy, Wave Hands)
Lucy is a beautiful 3-year-old Golden cat. She has the most mesmerizing emerald green eyes and a fluffy tail that could rival a feather duster! She's playful and loves chasing laser pointers.",11.89,,,,0,2.2,0.29
