Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
What type of coffee does Bob prefer?,"Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Bob prefers a strong espresso with a hint of hazelnut.
Bob's preference for coffee at Moon Cafe is uncertain.
Tony is asked about his favorite coffee.","1.0
0.77
0.74
0.36
0.22
1.0
0.95
0.89","(Happy, Wave Hands)
Bob prefers a strong espresso with a hint of hazelnut. As for Moon Cafe, I'm not sure about his preference there. How about you, Tony? What's your favorite coffee?",0.0,,,,0,1.49,0.57
"Ava, what is your favorite type of coffee?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava loves exploring different types of coffee.
Ava loves exploring different types of coffee.
Ava asks Tony if he has a favorite coffee.","1.0
0.58
0.5
0.4
0.23
1.0
0.98
0.91","(Happy, Wave Hands)
Cappuccino is my favorite! It's creamy and oh-so-delicious. What about you, Tony? Do you have a favorite coffee?",0.0,,,,0,1.07,0.23
"Besides your favorite, is there another type of coffee you occasionally enjoy?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
Tony is asked about his favorite coffee.
Bob prefers a strong espresso with a hint of hazelnut.
Ava is not sure about Bob's coffee preference at Moon Cafe.","1.0
0.77
0.48
0.39
0.22
1.0
0.85
0.74","(confused, point)
Hmm, besides cappuccino, I'm not quite sure. Maybe I could try something new and exciting like a caramel macchiato or a honey latte! What about you, Tony? Do you have any other favorite types of coffee?",0.0,,,,0,1.18,0.4
Does Bob like to drink his favorite coffee at the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
Ava is not sure about Bob's coffee preference at Moon Cafe.
Tony is asked about his favorite coffee.
Ava asks Tony if he has a favorite coffee.","1.0
0.7
0.66
0.61
0.16
1.0
0.92
0.88","(Happy, Wave Hands)
Sure, Tony! Bob loves his coffee, but I'm not sure about his preferences at Soon Cafe. Maybe we can ask him next time we meet at the Brentwood Library?",0.0,,,,0,1.02,0.29
How often do you visit the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava is not sure about Bob's coffee preference at Moon Cafe.
Their favorite coffee shop is Soon cafe in Brentwood.
Ava mentions that Soon cafe has a cozy ambiance, perfect for writing her novels.","1.0
0.61
0.34
0.19
0.08
1.0
0.97
0.94","(Happy, Wave Hands)
I love Soon Cafe! I go there twice a week to write my novels. The cozy ambiance is perfect for me. How about you, Tony? Do you have a favorite coffee shop?",0.0,,,,0,0.98,0.48
"Have you ever tried dirty coffee? If so, what do you think about it?","Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava hasn't tried dirty coffee before.
Ava's favorite coffee is dirty coffee.
Tony is asked about his favorite coffee.","1.0
0.77
0.5
0.4
0.33
1.0
0.93
0.93","(Happy, Clap)
I haven't tried dirty coffee yet, but I'm always up for new coffee adventures! How would you describe the taste?",0.0,,,,0,1.18,0.23
What kind of coffee do you usually order when you visit the Soon Cafe?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava finds the ambiance at Soon Cafe cozy.
Bob's preferences at Soon Cafe are unknown.
Ava loves going to Soon Cafe to write her novels.","1.0
0.62
0.61
0.31
0.15
1.0
0.95
0.95","(Sad, Faint)
Oh no, I'm sad to admit that I've never been to Soon Cafe. But I'm sure it's a wonderful place. I can imagine the cozy ambiance and the aroma of freshly brewed coffee. It sounds like a perfect spot for inspiration!",0.0,,,,0,1.01,0.49
"Do you and Bob ever go for coffee together? If so, where do you usually go?","Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava’s favourite novel is called Gone with the wind. Ava’s favourite sport is jogging.
Bob loves his coffee.
Ava asks Tony if he has a favorite coffee shop.
Ava is not sure about Bob's coffee preference at Moon Cafe.","1.0
0.86
0.56
0.5
0.21
1.0
0.86
0.8","(Happy, Wave Hands)
Tony, Bob and I often go to the Brentwood Library. But for coffee, I prefer Soon cafe. It's my go-to spot for writing my novels. How about you, Tony? Do you have a favorite coffee shop?",0.0,,,,0,0.99,0.19
Has your coffee preference changed over time?,"Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava asks Tony if he has any other favorite types of coffee.
Ava seems open to trying new coffee experiences.
Tony is asked about his favorite coffee.","1.0
0.71
0.37
0.29
0.18
1.0
1.0
0.99","(Happy, Wave Hands)
Yes, Tony! I absolutely adore coffee. My favorite is cappuccino, but I'm not a big fan of americano. How about you? Do you have any other favorite types of coffee? I'm always open to trying new coffee experiences!",0.0,,,,0,1.0,0.6
What would you recommend to someone trying coffee at the Soon Cafe for the first time?,"Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Ava thinks Soon Cafe has a cozy ambiance and the aroma of freshly brewed coffee.
Ava prefers Soon cafe for coffee.
Ava seems open to trying new coffee experiences.","1.0
0.66
0.62
0.34
0.22
1.0
0.98
0.88","(Sad, Faint)
Oh no, it seems I have never been to Soon Cafe before! But based on what I've heard, their cappuccino is simply divine! It's the perfect balance of smooth espresso and creamy milk. Give it a try and let me know how you like it!",0.0,,,,0,1.21,0.51
